Team_ID,Emp_ID,Test_Name,Test_Score,Presentation,Project,Assignment,Overall_Rating,Assessment_Date,Overall_Feedback
D1,119732,Python_Core,63,50,63,34,4,05-02-2024 00:00,meets expectation
D1,600623,Python_Core,38,53,8,32,3,05-02-2024 00:00,below expectation
D1,639295,Python_Core,8,47,28,5,2,05-02-2024 00:00,below expectation
W1,593583,Python_Core,91,32,27,52,3,06-07-2024 00:00,meets expectation
W1,111374,Python_Core,4,22,50,60,2,06-07-2024 00:00,below expectation
W1,793929,Python_Core,1,2,39,3,1,06-07-2024 00:00,below expectation
W1,368406,Python_Core,46,31,47,37,2,06-07-2024 00:00,below expectation
WD1,436411,Python_Core,28,23,78,83,3,10-09-2024 00:00,meets expectation
WD1,394322,Python_Core,75,97,91,78,5,10-09-2024 00:00,exceeds expectation
D1,119732,Python_Advanced,63,50,63,34,4,02-02-2024 00:00,meets expectation
D1,600623,Python_Advanced,38,53,8,32,3,03-02-2024 00:00,below expectation
D1,639295,Python_Advanced,8,47,28,5,2,04-02-2024 00:00,below expectation
W1,593583,Python_Advanced,91,32,27,52,3,05-02-2024 00:00,meets expectation
W1,111374,Python_Advanced,4,22,50,60,2,06-02-2024 00:00,below expectation
W1,793929,Python_Advanced,1,2,39,3,1,07-02-2024 00:00,below expectation
W1,368406,Python_Advanced,46,31,47,37,2,08-02-2024 00:00,below expectation
WD1,436411,Python_Advanced,28,23,78,83,3,09-02-2024 00:00,meets expectation
WD1,394322,Python_Advanced,75,97,91,78,5,10-02-2024 00:00,exceeds expectation
D1,119732,Numpy,63,50,63,34,4,11-02-2024 00:00,meets expectation
D1,600623,Numpy,38,53,8,32,3,12-02-2024 00:00,below expectation
D1,639295,Numpy,8,47,28,5,2,01-02-2024 00:00,below expectation
W1,593583,Django,91,32,27,52,3,02-02-2024 00:00,meets expectation
W1,111374,Django,4,22,50,60,2,03-02-2024 00:00,below expectation
W1,793929,Django,1,2,39,3,1,04-02-2024 00:00,below expectation
W1,368406,Django,46,31,47,37,2,05-02-2024 00:00,below expectation
WD1,436411,Numpy,28,23,78,83,3,06-02-2024 00:00,meets expectation
WD1,394322,Numpy,75,97,91,78,5,07-02-2024 00:00,exceeds expectation
D1,119732,Pandas,63,50,63,34,4,08-02-2024 00:00,meets expectation
D1,600623,Pandas,38,53,8,32,3,09-02-2024 00:00,below expectation
D1,639295,Pandas,8,47,28,5,2,10-02-2024 00:00,below expectation
W1,593583,DRF,91,32,27,52,3,11-02-2024 00:00,meets expectation
W1,111374,DRF,4,22,50,60,2,12-02-2024 00:00,below expectation
W1,793929,DRF,1,2,39,3,1,01-02-2024 00:00,below expectation
W1,368406,DRF,46,31,47,37,2,02-02-2024 00:00,below expectation
WD1,436411,Pandas,28,23,78,83,3,03-02-2024 00:00,meets expectation
WD1,394322,Pandas,75,97,91,78,5,04-02-2024 00:00,exceeds expectation
D1,119732,SQL,63,50,63,34,4,05-02-2024 00:00,meets expectation
D1,600623,SQL,38,53,8,32,3,06-02-2024 00:00,below expectation
D1,639295,SQL,8,47,28,5,2,07-02-2024 00:00,below expectation
W1,593583,Fast API,91,32,27,52,3,08-02-2024 00:00,meets expectation
W1,111374,Fast API,4,22,50,60,2,09-02-2024 00:00,below expectation
W1,793929,Fast API,1,2,39,3,1,10-02-2024 00:00,below expectation
W1,368406,Fast API,46,31,47,37,2,11-02-2024 00:00,below expectation
WD1,436411,SQL,28,23,78,83,3,12-02-2024 00:00,meets expectation
WD1,394322,SQL,75,97,91,78,5,01-02-2024 00:00,exceeds expectation
